iid,gender,age,race,field,career,goal,date,income,wave
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
4,0,23.0,2.0,Law,lawyer/policy work,1.0,5.0,"37,754.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
5,0,21.0,2.0,Law,lawyer,2.0,4.0,"86,340.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
6,0,23.0,4.0,law,lawyer,1.0,3.0,"60,304.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
7,0,22.0,4.0,Law,Law,1.0,5.0,"54,620.00",1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
8,0,25.0,2.0,Masters in Public Administration,Journalist,1.0,5.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
9,0,26.0,6.0,Masters in Public Administration,"Congresswoman, and comedian",1.0,4.0,,1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
10,0,26.0,2.0,Masters of Social Work&Education,To create early childhood intervention programs,2.0,6.0,"48,652.00",1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
11,1,27.0,2.0,Finance,"Academia, Research, Banking, Life",1.0,5.0,,1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
12,1,22.0,2.0,Law,Corporate Lawyer,1.0,1.0,"29,237.00",1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
13,1,22.0,4.0,Law,Lawyer,2.0,7.0,,1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
14,1,23.0,2.0,Law,Corporate attorney,2.0,4.0,"56,580.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
15,1,24.0,3.0,Law,Lawyer,1.0,4.0,"36,782.00",1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
16,1,25.0,2.0,Business,research/financial industry,1.0,5.0,,1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
17,1,30.0,2.0,political science,academics or journalism,3.0,3.0,"38,548.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
18,1,27.0,2.0,Business,Financial Services,1.0,6.0,"52,010.00",1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
19,1,28.0,2.0,money,ceo,4.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
20,1,24.0,2.0,Finance,CEO,1.0,1.0,,1
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
21,0,21.0,4.0,Operations Research,Undecided,6.0,7.0,,2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
22,0,27.0,1.0,TC (Health Ed),Informatics,1.0,6.0,"28,418.00",2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
23,0,21.0,4.0,Psychology,psychologist,1.0,1.0,,2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
24,0,27.0,2.0,social work,health/nutrition oriented social worker,2.0,6.0,"43,185.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
25,0,25.0,2.0,Social Work,Social Worker,1.0,5.0,"23,152.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
26,0,23.0,2.0,Social Work,Social work with children,1.0,5.0,"43,664.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
27,0,22.0,3.0,Speech Language Pathology,Speech Language Pathologist,1.0,6.0,"48,441.00",2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
28,0,26.0,2.0,Speech Languahe Pathology,,,,,2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
29,0,22.0,2.0,Social Work,Social Work Administration,1.0,6.0,"61,152.00",2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
30,0,23.0,2.0,Law,Lawyer,1.0,7.0,,2
31,0,24.0,2.0,law,law,1.0,4.0,"36,485.00",2
31,0,24.0,2.0,law,law,1.0,4.0,"36,485.00",2
31,0,24.0,2.0,law,law,1.0,4.0,"36,485.00",2
31,0,24.0,2.0,law,law,1.0,4.0,"36,485.00",2
31,0,24.0,2.0,law,law,1.0,4.0,"36,485.00",2
31,0,24.0,2.0,law,law,1.0,4.0,"36,485.00",2
